benchmark, cost_1-hop, time_1hop(s)
mac,1.000000,0.01
simple,1.000000,0.01
horner_bs,1.000000,0.02
mults1,1.074074,0.03
arf,1.066667,0.03
conv3,1.000000,0.03
motion_vec,1.000000,0.03
fir2,1.025641,0.03
fir1,1.069767,0.04
fdback_pts,1.098039,0.05
k4n4op,1.256757,0.05
h2v2_smo,1.030769,0.06
cosine1,1.092105,0.06
ewf,1.063291,0.07
Cplx8,1.032967,0.09
Fir16,1.032967,0.09
cosine2,1.285714,0.08
FilterRGB,1.092784,0.09
collapse_pyr,1.131148,0.12
interpolate,1.192308,0.10
w_bmp_head,1.119565,0.10
matmul,1.129032,0.12
invert_matrix,1.751323,0.44
